Cloud Pocket Name,Type,Txn,CP Bal,Account Bal,Category,Memo,Date,Time,Note
ใช้,Payment,-85.00,4915.00,52000.00,อาหาร,,1/1/2025,08:15:22,ก๋วยเตี๋ยวเรือท่าพระจันทร์
ใช้,Payment,-45.00,4870.00,51955.00,อาหาร,,1/1/2025,12:30:05,MK Restaurant สยาม
ใช้,Payment,-120.00,4750.00,51835.00,ช้อปปิ้ง,,2/1/2025,14:22:10,Uniqlo สยามพารากอน
ใช้,Transfer Withdraw,-500.00,4250.00,51335.00,อื่นๆ,,2/1/2025,17:00:00,NATNAPA JUMPATIP
ใช้,Payment,-60.00,4190.00,51275.00,อาหาร,,3/1/2025,09:10:33,Starbucks สยาม
ใช้,Payment,-35.00,4155.00,51240.00,อาหาร,,3/1/2025,13:45:12,ข้าวมันไก่ประตูน้ำ
ใช้,Payment,-280.00,3875.00,50960.00,ช้อปปิ้ง,,4/1/2025,15:20:44,Warrix สปอร์ต สยาม
ใช้,Payment,-95.00,3780.00,50865.00,อาหาร,,5/1/2025,12:05:18,ส้มตำนัว มาบุญครอง
ใช้,Payment,-55.00,3725.00,50810.00,เดินทาง,,5/1/2025,18:30:00,Grab Car
ใช้,Payment,-40.00,3685.00,50770.00,อาหาร,,6/1/2025,08:00:55,กาแฟอเมซอน
ใช้,Payment,-75.00,3610.00,50695.00,อาหาร,,7/1/2025,19:15:30,Yayoi สยาม
ใช้,Payment,-3200.00,410.00,47495.00,ช้อปปิ้ง,,8/1/2025,14:00:00,Apple Store iPad case
Cashbox,Deposit,10000.00,10410.00,57495.00,,,9/1/2025,10:00:00,เติมเงิน
ใช้,Payment,-90.00,10320.00,57405.00,อาหาร,,9/1/2025,12:30:22,Sushi Hiro เซ็นทรัล
ใช้,Payment,-45.00,10275.00,57360.00,เดินทาง,,10/1/2025,08:20:10,BTS Rabbit Card
ใช้,Payment,-65.00,10210.00,57295.00,อาหาร,,10/1/2025,13:00:44,ก๋วยจั๊บอ้วน
ใช้,Payment,-180.00,10030.00,57115.00,บันเทิง,,11/1/2025,19:30:00,SF Cinema เมเจอร์
ใช้,Payment,-50.00,9980.00,57065.00,อาหาร,,12/1/2025,08:10:05,กาแฟวาวี
ใช้,Payment,-320.00,9660.00,56745.00,ช้อปปิ้ง,,12/1/2025,15:45:33,H&M สยาม
ใช้,Payment,-85.00,9575.00,56660.00,อาหาร,,13/1/2025,12:00:00,โอโตยะ เซ็นทรัล
ใช้,Transfer Withdraw,-2000.00,7575.00,54660.00,อื่นๆ,,14/1/2025,16:00:00,NATNAPA JUMPATIP
ใช้,Payment,-55.00,7520.00,54605.00,เดินทาง,,15/1/2025,09:00:00,Grab Car
ใช้,Payment,-70.00,7450.00,54535.00,อาหาร,,15/1/2025,13:20:18,ข้าวหน้าเป็ดเยาวราช
ใช้,Payment,-4800.00,2650.00,49735.00,ช้อปปิ้ง,,16/1/2025,14:30:00,Nike สยามสปอร์ต
ใช้,Payment,-45.00,2605.00,49690.00,อาหาร,,17/1/2025,08:30:22,Cafe Amazon ปตท.
ใช้,Payment,-95.00,2510.00,49595.00,อาหาร,,18/1/2025,19:00:11,Pizza Company
ใช้,Payment,-30.00,2480.00,49565.00,เดินทาง,,19/1/2025,07:45:00,MRT บัตรเติมเงิน
ใช้,Payment,-110.00,2370.00,49455.00,อาหาร,,20/1/2025,12:45:33,Fuji Japanese
ใช้,Payment,-60.00,2310.00,49395.00,บันเทิง,,21/1/2025,20:00:00,Netflix Thailand
Cashbox,Deposit,10000.00,12310.00,59395.00,,,22/1/2025,10:00:00,เติมเงิน
ใช้,Payment,-75.00,12235.00,59320.00,อาหาร,,22/1/2025,13:10:05,ชาบูชิ เมเจอร์
ใช้,Payment,-45.00,12190.00,59275.00,เดินทาง,,23/1/2025,08:00:00,Grab Car
ใช้,Payment,-5500.00,6690.00,53775.00,ช้อปปิ้ง,,24/1/2025,16:00:00,Samsung Galaxy Tab
ใช้,Payment,-80.00,6610.00,53695.00,อาหาร,,25/1/2025,12:30:44,ส้มตำทะเล
ใช้,Payment,-55.00,6555.00,53640.00,อาหาร,,26/1/2025,08:15:22,Doi Chaang Coffee
